Country,Country code,State,State code,State type,Year,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Other Fossil,ktCO2,62.03,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Other Renewables,ktCO2,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Solar,ktCO2,0.68,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Wind,ktCO2,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Total,Total emissions,ktCO2,62.89,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Aggregate fuel,Clean,%,21.73,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Aggregate fuel,Fossil,%,78.28,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,78.28,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,8.94,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Aggregate fuel,Renewables,%,21.73,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Aggregate fuel,Wind and Solar,%,12.79,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Aggregate fuel,Clean,GWh,35.03,13.3,61.21
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Aggregate fuel,Fossil,GWh,126.22,37.6,42.43
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Aggregate fuel,Gas and Other Fossil,GWh,126.22,37.6,42.43
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",GWh,14.41,6.86,90.86
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Aggregate fuel,Renewables,GWh,35.03,13.3,61.21
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Aggregate fuel,Wind and Solar,GWh,20.62,6.44,45.42
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Bioenergy,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Coal,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Gas,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Hydro,%,8.94,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Nuclear,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Other Fossil,%,78.28,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Other Renewables,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Solar,%,12.79,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Wind,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Bioenergy,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Coal,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Gas,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Hydro,GWh,14.41,6.86,90.86
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Nuclear,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Other Fossil,GWh,126.22,37.6,42.43
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Other Renewables,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Solar,GWh,20.62,6.44,45.42
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Fuel,Wind,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Electricity generation,Total,Total Generation,GWh,161.25,50.9,46.13
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Aggregate fuel,Clean,%,1.34,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Aggregate fuel,Fossil,%,88.35,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Aggregate fuel,Gas and Other Fossil,%,88.35,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,0.35,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Aggregate fuel,Renewables,%,1.34,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Aggregate fuel,Wind and Solar,%,0.99,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Aggregate fuel,Clean,ktCO2,1.34,0.48,55.81
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Aggregate fuel,Fossil,ktCO2,88.35,26.32,42.43
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Aggregate fuel,Gas and Other Fossil,ktCO2,88.35,26.32,42.43
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",ktCO2,0.35,0.17,94.44
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Aggregate fuel,Renewables,ktCO2,1.34,0.48,55.81
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Aggregate fuel,Wind and Solar,ktCO2,0.99,0.31,45.59
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,556.22,-13.69,-2.4
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Bioenergy,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Coal,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Gas,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Hydro,%,0.35,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Nuclear,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Other Fossil,%,88.35,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Other Renewables,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Solar,%,0.99,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Wind,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Bioenergy,ktCO2,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Coal,ktCO2,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Gas,ktCO2,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Hydro,ktCO2,0.35,0.17,94.44
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Nuclear,ktCO2,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Other Fossil,ktCO2,88.35,26.32,42.43
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Other Renewables,ktCO2,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Solar,ktCO2,0.99,0.31,45.59
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Fuel,Wind,ktCO2,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2020,Power sector emissions,Total,Total emissions,ktCO2,89.69,26.8,42.61
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Aggregate fuel,Clean,%,27.08,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Aggregate fuel,Fossil,%,72.93,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,72.93,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,9.92,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Aggregate fuel,Renewables,%,27.08,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Aggregate fuel,Wind and Solar,%,17.16,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Aggregate fuel,Clean,GWh,35.43,0.4,1.14
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Aggregate fuel,Fossil,GWh,95.43,-30.79,-24.39
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Aggregate fuel,Gas and Other Fossil,GWh,95.43,-30.79,-24.39
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",GWh,12.98,-1.43,-9.92
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Aggregate fuel,Renewables,GWh,35.43,0.4,1.14
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Aggregate fuel,Wind and Solar,GWh,22.45,1.83,8.87
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Bioenergy,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Coal,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Gas,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Hydro,%,9.92,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Nuclear,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Other Fossil,%,72.93,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Other Renewables,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Solar,%,17.16,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Wind,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Bioenergy,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Coal,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Gas,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Hydro,GWh,12.98,-1.43,-9.92
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Nuclear,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Other Fossil,GWh,95.43,-30.79,-24.39
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Other Renewables,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Solar,GWh,22.45,1.83,8.87
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Fuel,Wind,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Electricity generation,Total,Total Generation,GWh,130.86,-30.39,-18.85
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Aggregate fuel,Clean,%,1.39,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Aggregate fuel,Fossil,%,66.8,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Aggregate fuel,Gas and Other Fossil,%,66.8,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,0.31,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Aggregate fuel,Renewables,%,1.39,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Aggregate fuel,Wind and Solar,%,1.08,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Aggregate fuel,Clean,ktCO2,1.39,0.05,3.73
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Aggregate fuel,Fossil,ktCO2,66.8,-21.55,-24.39
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Aggregate fuel,Gas and Other Fossil,ktCO2,66.8,-21.55,-24.39
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",ktCO2,0.31,-0.04,-11.43
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Aggregate fuel,Renewables,ktCO2,1.39,0.05,3.73
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Aggregate fuel,Wind and Solar,ktCO2,1.08,0.09,9.09
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,521.09,-35.13,-6.32
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Bioenergy,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Coal,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Gas,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Hydro,%,0.31,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Nuclear,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Other Fossil,%,66.8,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Other Renewables,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Solar,%,1.08,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Wind,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Bioenergy,ktCO2,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Coal,ktCO2,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Gas,ktCO2,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Hydro,ktCO2,0.31,-0.04,-11.43
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Nuclear,ktCO2,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Other Fossil,ktCO2,66.8,-21.55,-24.39
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Other Renewables,ktCO2,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Solar,ktCO2,1.08,0.09,9.09
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Fuel,Wind,ktCO2,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2021,Power sector emissions,Total,Total emissions,ktCO2,68.19,-21.5,-23.97
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Aggregate fuel,Clean,%,17.57,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Aggregate fuel,Fossil,%,82.43,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,82.43,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,6.65,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Aggregate fuel,Renewables,%,17.57,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Aggregate fuel,Wind and Solar,%,10.92,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Aggregate fuel,Clean,GWh,37.76,2.33,6.58
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Aggregate fuel,Fossil,GWh,177.17,81.74,85.65
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Aggregate fuel,Gas and Other Fossil,GWh,177.17,81.74,85.65
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",GWh,14.29,1.31,10.09
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Aggregate fuel,Renewables,GWh,37.76,2.33,6.58
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Aggregate fuel,Wind and Solar,GWh,23.47,1.02,4.54
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Bioenergy,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Coal,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Gas,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Hydro,%,6.65,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Nuclear,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Other Fossil,%,82.43,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Other Renewables,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Solar,%,10.92,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Wind,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Bioenergy,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Coal,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Gas,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Hydro,GWh,14.29,1.31,10.09
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Nuclear,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Other Fossil,GWh,177.17,81.74,85.65
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Other Renewables,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Solar,GWh,23.47,1.02,4.54
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Fuel,Wind,GWh,0.0,0.0,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Electricity generation,Total,Total Generation,GWh,214.93,84.07,64.24
India,IND,Andaman and Nicobar,AN,Union territory,2022,Power sector emissions,Aggregate fuel,Clean,%,1.47,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Power sector emissions,Aggregate fuel,Fossil,%,124.02,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Power sector emissions,Aggregate fuel,Gas and Other Fossil,%,124.02,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,0.34,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Power sector emissions,Aggregate fuel,Renewables,%,1.47,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Power sector emissions,Aggregate fuel,Wind and Solar,%,1.13,,
India,IND,Andaman and Nicobar,AN,Union territory,2022,Power sector emissions,Aggregate fuel,Clean,ktCO2,1.47,0.08,5.76
India,IND,Andaman and Nicobar,AN,Union territory,2022,Power sector emissions,Aggregate fuel,Fossil,ktCO2,124.02,57.22,85.66
India,IND,Andaman and Nicobar,AN,Union territory,2022,Power sector emissions,Aggregate fuel,Gas and Other Fossil,ktCO2,124.02,57.22,85.66
India,IND,Andaman and Nicobar,AN,Union territory,2022,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",ktCO2,0.34,0.03,9.68
India,IND,Andaman and Nicobar,AN,Union territory,2022,Power sector emissions,Aggregate fuel,Renewables,ktCO2,1.47,0.08,5.76
India,IND,Andaman and Nicobar,AN,Union territory,2022,Power sector emissions,Aggregate fuel,Wind and Solar,ktCO2,1.13,0.05,4.63
India,IND,Andaman and Nicobar,AN,Union territory,2022,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,583.87,62.78,12.05
